day,is_nonworking,seq
2019-01-01,Y,0
2019-01-02,N,1
2019-01-03,N,2
2019-01-04,N,3
2019-01-05,Y,3
2019-01-06,Y,3
2019-01-07,N,4
2019-01-08,N,5
2019-01-09,N,6
2019-01-10,N,7
2019-01-11,N,8
2019-01-12,Y,8
2019-01-13,Y,8
2019-01-14,N,9
2019-01-15,N,10
2019-01-16,N,11
2019-01-17,N,12
2019-01-18,N,13
2019-01-19,Y,13
2019-01-20,Y,13
2019-01-21,N,14
2019-01-22,N,15
2019-01-23,N,16
2019-01-24,N,17
2019-01-25,N,18
2019-01-26,Y,18
2019-01-27,Y,18
2019-01-28,N,19
2019-01-29,N,20
2019-01-30,N,21
2019-01-31,N,22
2019-02-01,N,23
2019-02-02,Y,23
2019-02-03,Y,23
2019-02-04,N,24
2019-02-05,N,25
2019-02-06,N,26
2019-02-07,N,27
2019-02-08,N,28
2019-02-09,Y,28
2019-02-10,Y,28
2019-02-11,N,29
2019-02-12,N,30
2019-02-13,N,31
2019-02-14,N,32
2019-02-15,N,33
2019-02-16,Y,33
2019-02-17,Y,33
2019-02-18,N,34
2019-02-19,N,35
2019-02-20,N,36
2019-02-21,N,37
2019-02-22,N,38
2019-02-23,Y,38
2019-02-24,Y,38
2019-02-25,N,39
2019-02-26,N,40
2019-02-27,N,41
2019-02-28,N,42
2019-03-01,N,43
2019-03-02,Y,43
2019-03-03,Y,43
2019-03-04,N,44
2019-03-05,N,45
2019-03-06,N,46
2019-03-07,N,47
2019-03-08,N,48
2019-03-09,Y,48
2019-03-10,Y,48
2019-03-11,N,49
2019-03-12,N,50
2019-03-13,N,51
2019-03-14,N,52
2019-03-15,N,53
2019-03-16,Y,53
2019-03-17,Y,53
2019-03-18,N,54
2019-03-19,N,55
2019-03-20,N,56
2019-03-21,N,57
2019-03-22,N,58
2019-03-23,Y,58
2019-03-24,Y,58
2019-03-25,N,59
2019-03-26,N,60
2019-03-27,N,61
2019-03-28,N,62
2019-03-29,N,63
2019-03-30,Y,63
2019-03-31,Y,63
2019-04-01,N,64
2019-04-02,N,65
2019-04-03,N,66
2019-04-04,N,67
2019-04-05,N,68
2019-04-06,Y,68
2019-04-07,Y,68
2019-04-08,N,69
2019-04-09,N,70
2019-04-10,N,71
2019-04-11,N,72
2019-04-12,N,73
2019-04-13,Y,73
2019-04-14,Y,73
2019-04-15,N,74
2019-04-16,N,75
2019-04-17,N,76
2019-04-18,N,77
2019-04-19,Y,77
2019-04-20,Y,77
2019-04-21,Y,77
2019-04-22,Y,77
2019-04-23,N,78
2019-04-24,N,79
2019-04-25,N,80
2019-04-26,N,81
2019-04-27,Y,81
2019-04-28,Y,81
2019-04-29,N,82
2019-04-30,N,83
2019-05-01,N,84
2019-05-02,N,85
2019-05-03,N,86
2019-05-04,Y,86
2019-05-05,Y,86
2019-05-06,Y,86
2019-05-07,N,87
2019-05-08,N,88
2019-05-09,N,89
2019-05-10,N,90
2019-05-11,Y,90
2019-05-12,Y,90
2019-05-13,N,91
2019-05-14,N,92
2019-05-15,N,93
2019-05-16,N,94
2019-05-17,N,95
2019-05-18,Y,95
2019-05-19,Y,95
2019-05-20,N,96
2019-05-21,N,97
2019-05-22,N,98
2019-05-23,N,99
2019-05-24,N,100
2019-05-25,Y,100
2019-05-26,Y,100
2019-05-27,Y,100
2019-05-28,N,101
2019-05-29,N,102
2019-05-30,N,103
2019-05-31,N,104
2019-06-01,Y,104
2019-06-02,Y,104
2019-06-03,N,105
2019-06-04,N,106
2019-06-05,N,107
2019-06-06,N,108
2019-06-07,N,109
2019-06-08,Y,109
2019-06-09,Y,109
2019-06-10,N,110
2019-06-11,N,111
2019-06-12,N,112
2019-06-13,N,113
2019-06-14,N,114
2019-06-15,Y,114
2019-06-16,Y,114
2019-06-17,N,115
2019-06-18,N,116
2019-06-19,N,117
2019-06-20,N,118
2019-06-21,N,119
2019-06-22,Y,119
2019-06-23,Y,119
2019-06-24,N,120
2019-06-25,N,121
2019-06-26,N,122
2019-06-27,N,123
2019-06-28,N,124
2019-06-29,Y,124
